probe: using server at http://127.0.0.1:8794 (spawned)
PASS  inventory loads (67 apertures)
PASS  aperture ids unique
PASS  every aperture has a POI
PASS  traversable doors to walk (18)
  [trace] d=5m dLast=4m yaw=-24.27 err=-1.89 gain=60.0 shuffles=4
  [trace] d=5m dLast=5m yaw=-24.54 err=-1.90 gain=60.0 shuffles=4
  [trace] d=4m dLast=5m yaw=-26.81 err=-1.13 gain=60.0 shuffles=5
  [trace] d=4m dLast=4m yaw=-33.88 err=-1.78 gain=60.0 shuffles=6
  [trace] d=4m dLast=4m yaw=-38.83 err=-1.69 gain=60.0 shuffles=7
  [trace] d=4m dLast=4m yaw=-39.82 err=-1.72 gain=60.0 shuffles=7
  [trace] d=4m dLast=4m yaw=-40.06 err=-1.72 gain=60.0 shuffles=7
  [trace] d=3m dLast=3m yaw=-46.86 err=-1.83 gain=60.0 shuffles=9
  [trace] d=4m dLast=4m yaw=-52.66 err=-1.80 gain=60.0 shuffles=10
  [trace] d=7m dLast=7m yaw=-54.96 err=-1.31 gain=60.0 shuffles=11
  [trace] d=4m dLast=4m yaw=-56.47 err=-1.42 gain=60.0 shuffles=11
  [trace] d=4m dLast=4m yaw=-57.13 err=-1.57 gain=60.0 shuffles=11
staged retry ranchHouse.partition.west.door.0
  [trace] d=5m dLast=4m yaw=-63.75 err=-1.88 gain=60.0 shuffles=0
  [trace] d=5m dLast=5m yaw=-64.26 err=-1.73 gain=60.0 shuffles=0
  [trace] d=5m dLast=5m yaw=-68.11 err=-1.25 gain=60.0 shuffles=1
  [trace] d=4m dLast=4m yaw=-70.85 err=-1.76 gain=60.0 shuffles=1
  [trace] d=2m dLast=2m yaw=-72.49 err=-2.02 gain=60.0 shuffles=2
  [trace] d=4m dLast=4m yaw=-74.00 err=-2.04 gain=60.0 shuffles=2
  [trace] d=5m dLast=4m yaw=-74.28 err=-1.94 gain=60.0 shuffles=2
  [trace] d=7m dLast=7m yaw=-76.01 err=-1.20 gain=60.0 shuffles=3
  [trace] d=3m dLast=3m yaw=-78.57 err=-1.78 gain=60.0 shuffles=3
  [trace] d=6m dLast=6m yaw=-84.80 err=-1.44 gain=60.0 shuffles=5
  [trace] d=6m dLast=6m yaw=-85.01 err=-1.42 gain=60.0 shuffles=5
  [trace] d=5m dLast=6m yaw=-85.21 err=-1.39 gain=60.0 shuffles=5
  [trace] d=5m dLast=5m yaw=-85.40 err=-1.34 gain=60.0 shuffles=5
  [trace] d=4m dLast=4m yaw=-88.52 err=-1.76 gain=60.0 shuffles=5
  [trace] d=6m dLast=7m yaw=-92.96 err=-1.36 gain=60.0 shuffles=7
  [trace] d=6m dLast=6m yaw=-93.15 err=-1.32 gain=60.0 shuffles=7
  [trace] d=4m dLast=4m yaw=-96.41 err=-1.68 gain=60.0 shuffles=7
  [trace] d=4m dLast=4m yaw=-96.65 err=-1.69 gain=60.0 shuffles=7
  [trace] d=2m dLast=2m yaw=-97.48 err=-1.33 gain=60.0 shuffles=8
  [trace] d=2m dLast=2m yaw=-97.74 err=-1.79 gain=60.0 shuffles=8
  [trace] d=4m dLast=4m yaw=-102.78 err=-1.35 gain=60.0 shuffles=9
  [trace] d=3m dLast=3m yaw=-103.69 err=-1.76 gain=60.0 shuffles=9
  [trace] d=4m dLast=3m yaw=-103.99 err=-2.06 gain=60.0 shuffles=9
  [trace] d=5m dLast=5m yaw=-105.09 err=-1.81 gain=60.0 shuffles=9
  [trace] d=5m dLast=4m yaw=-108.59 err=-1.84 gain=60.0 shuffles=10
  [trace] d=2m dLast=2m yaw=-112.79 err=-2.25 gain=60.0 shuffles=12
  [trace] d=5m dLast=5m yaw=-115.54 err=-1.55 gain=60.0 shuffles=13
  [trace] d=4m dLast=4m yaw=-117.56 err=-1.59 gain=60.0 shuffles=13
  [trace] d=5m dLast=5m yaw=-120.46 err=-1.91 gain=60.0 shuffles=14
staged retry failed: still wedged after 15 shuffles near ranchHouse.partition.east.door.0 exterior
FAIL  walk through ranchHouse.partition.west.door.0 — steering to ranchHouse.partition.west.door.0 through timed out
  [trace] d=10m dLast=11m yaw=-121.19 err=0.02 gain=60.0 shuffles=0
  [trace] d=30m dLast=30m yaw=-121.89 err=0.01 gain=60.0 shuffles=0
  [trace] d=30m dLast=30m yaw=-121.89 err=0.01 gain=60.0 shuffles=1
  [trace] d=30m dLast=30m yaw=-121.89 err=0.01 gain=60.0 shuffles=1
  [trace] d=30m dLast=31m yaw=-121.86 err=0.01 gain=60.0 shuffles=2
  [trace] d=30m dLast=30m yaw=-121.86 err=-0.01 gain=60.0 shuffles=2
  [trace] d=30m dLast=30m yaw=-121.88 err=0.01 gain=60.0 shuffles=3
  [trace] d=33m dLast=30m yaw=-121.87 err=0.06 gain=60.0 shuffles=4
  [trace] d=30m dLast=30m yaw=-121.88 err=0.01 gain=60.0 shuffles=5
  [trace] d=30m dLast=30m yaw=-121.86 err=-0.01 gain=60.0 shuffles=6
  [trace] d=30m dLast=30m yaw=-121.86 err=-0.01 gain=60.0 shuffles=6
  [trace] d=30m dLast=30m yaw=-121.86 err=-0.01 gain=60.0 shuffles=6
  [trace] d=30m dLast=30m yaw=-121.86 err=-0.01 gain=60.0 shuffles=8
  [trace] d=30m dLast=30m yaw=-121.86 err=-0.01 gain=60.0 shuffles=8
  [trace] d=30m dLast=30m yaw=-121.88 err=0.01 gain=60.0 shuffles=9
  [trace] d=30m dLast=30m yaw=-121.88 err=0.01 gain=60.0 shuffles=9
  [trace] d=30m dLast=30m yaw=-121.88 err=0.01 gain=60.0 shuffles=9
  [trace] d=30m dLast=30m yaw=-121.86 err=-0.01 gain=60.0 shuffles=10
  [trace] d=32m dLast=33m yaw=-121.87 err=-0.03 gain=60.0 shuffles=11
  [trace] d=30m dLast=30m yaw=-121.88 err=0.01 gain=60.0 shuffles=11
  [trace] d=30m dLast=30m yaw=-121.88 err=0.01 gain=60.0 shuffles=11
  [trace] d=30m dLast=30m yaw=-121.88 err=0.01 gain=60.0 shuffles=11
  [trace] d=30m dLast=30m yaw=-121.86 err=-0.01 gain=60.0 shuffles=12
  [trace] d=17m dLast=17m yaw=-121.47 err=0.10 gain=60.0 shuffles=0
  [trace] d=17m dLast=17m yaw=-121.41 err=0.03 gain=60.0 shuffles=1
  [trace] d=17m dLast=17m yaw=-121.40 err=0.02 gain=60.0 shuffles=1
  [trace] d=18m dLast=18m yaw=-121.44 err=-0.01 gain=60.0 shuffles=3
  [trace] d=17m dLast=17m yaw=-121.41 err=0.03 gain=60.0 shuffles=3
  [trace] d=17m dLast=17m yaw=-121.40 err=0.02 gain=60.0 shuffles=3
  [trace] d=17m dLast=17m yaw=-121.40 err=0.02 gain=60.0 shuffles=3
  [trace] d=17m dLast=17m yaw=-121.39 err=0.01 gain=60.0 shuffles=4
  [trace] d=17m dLast=17m yaw=-121.39 err=0.01 gain=60.0 shuffles=4
  [trace] d=17m dLast=17m yaw=-121.39 err=0.01 gain=60.0 shuffles=4
  [trace] d=17m dLast=17m yaw=-121.39 err=0.01 gain=60.0 shuffles=4
  [trace] d=18m dLast=18m yaw=-121.44 err=-0.04 gain=60.0 shuffles=5
  [trace] d=17m dLast=17m yaw=-121.42 err=0.04 gain=60.0 shuffles=5
  [trace] d=17m dLast=18m yaw=-121.38 err=0.00 gain=60.0 shuffles=6
  [trace] d=17m dLast=17m yaw=-121.38 err=0.00 gain=60.0 shuffles=6
  [trace] d=17m dLast=17m yaw=-121.42 err=0.04 gain=60.0 shuffles=7
  [trace] d=17m dLast=17m yaw=-121.39 err=0.01 gain=60.0 shuffles=8
  [trace] d=17m dLast=17m yaw=-121.39 err=0.01 gain=60.0 shuffles=8
  [trace] d=19m dLast=20m yaw=-121.42 err=-0.09 gain=60.0 shuffles=9
  [trace] d=17m dLast=18m yaw=-121.38 err=0.00 gain=60.0 shuffles=10
  [trace] d=17m dLast=17m yaw=-121.38 err=0.00 gain=60.0 shuffles=10
  [trace] d=17m dLast=17m yaw=-121.39 err=0.01 gain=60.0 shuffles=12
  [trace] d=17m dLast=17m yaw=-121.41 err=0.03 gain=60.0 shuffles=13
  [trace] d=17m dLast=18m yaw=-121.39 err=0.01 gain=60.0 shuffles=14
  [trace] d=17m dLast=17m yaw=-121.39 err=0.01 gain=60.0 shuffles=14
  [trace] d=17m dLast=18m yaw=-122.34 err=-0.03 gain=60.0 shuffles=1
  [trace] d=17m dLast=17m yaw=-122.35 err=-0.01 gain=60.0 shuffles=1
  [trace] d=17m dLast=17m yaw=-122.29 err=0.05 gain=60.0 shuffles=2
  [trace] d=17m dLast=17m yaw=-122.35 err=-0.01 gain=60.0 shuffles=3
  [trace] d=17m dLast=17m yaw=-122.35 err=-0.01 gain=60.0 shuffles=3
  [trace] d=19m dLast=17m yaw=-122.34 err=0.11 gain=60.0 shuffles=4
  [trace] d=18m dLast=19m yaw=-122.32 err=0.10 gain=60.0 shuffles=4
  [trace] d=17m dLast=17m yaw=-122.31 err=-0.04 gain=60.0 shuffles=4
  [trace] d=19m dLast=17m yaw=-122.34 err=-0.03 gain=60.0 shuffles=5
  [trace] d=17m dLast=17m yaw=-122.35 err=-0.01 gain=60.0 shuffles=5
  [trace] d=17m dLast=17m yaw=-122.35 err=-0.01 gain=60.0 shuffles=7
  [trace] d=19m dLast=17m yaw=-122.33 err=-0.04 gain=60.0 shuffles=9
  [trace] d=17m dLast=17m yaw=-122.35 err=-0.02 gain=60.0 shuffles=9
  [trace] d=17m dLast=17m yaw=-122.35 err=-0.02 gain=60.0 shuffles=9
  [trace] d=17m dLast=17m yaw=-122.35 err=-0.02 gain=60.0 shuffles=9
